"　　证券时报网（www.stcn.com）07月28日讯
　　7月28日盘后的大宗交易数据显示，多喜爱(行情002761,诊股)今日现2.36亿元的大宗交易，成交量为591万股，成交价格39.9元/股，较今日收盘价36.7元/溢价8.72%。数据显示，该笔大宗交易卖出席位为机构专用，买方为招商证券(行情600999,诊股)北京建国路证券营业部。注：截至7月28日收盘，多喜爱市值为44亿元，流通股本为5557万股。
　　（证券时报·e公司）",媒体新闻,17681741250236921297_0_439912,多喜爱现大宗交易 机构溢价卖出2.36亿元,多喜爱,1
"本报记者 金姝妮 北京报道
7月25日，多喜爱集团股份有限公司(002761.SZ，以下简称“多喜爱”)公告称，公司与硬蛋科技、科通芯城(00400.HK)分别签署的协议所约定的相关合作未取得实质性进展，也没有开展任何具体业务，相关合作处于终止状态。鉴于合作处于终止状态，公司后续将不会再进一步磋商及细化协议中的相关合作。该合作的终止状态不会影响公司及公司子公司业务的开展，亦不会对公司及公司子公司造成其他损失。
关于人工智能方面相关业务是否会继续做下去，多喜爱的公告中并未明说。7月26日，多喜爱董事长陈军独家回应《中国经营报》记者称，不再做人工智能业务了，但公司转型是必须的，“新业务正在找，急不得，不排除还是在互联网领域“，陈军说。
上述公告中所指“相关合作”缘起于今年4月。4月11日，多喜爱宣布与硬蛋科技签署合作框架协议，宣布双方将共同打造智能家居“AI+家纺”生态，进行人工智能+传统产业的转型探索并展开全面深入合作。工商信息显示，硬蛋科技为科通芯城集团旗下的控股公司。
5月5日，多喜爱进一步公告与科通芯城签署《业务合作协议》。双方在智能硬件领域的合作将以控股子公司深圳多喜爱信息技术有限公司作为唯一的实施平台，并将深圳多喜爱信息技术有限公司的名称变更为“前海硬蛋智能有限公司”，具体以工商部门核准的名称为准。
《业务合作协议》显示，多喜爱与科通芯城同意合作拓展前海硬蛋基于硬蛋平台的新业务，目标是将前海硬蛋打造成中国最大的人工智能产业平台。科通芯城授权前海硬蛋使用硬蛋品牌，同时会提供相应数据、IT 平台等以协助前海硬蛋发展人工智能新业务。
《业务合作协议》签署后半个月，多喜爱的合作对象科通芯城遭沽空机构做空。5月22日，“烽火研究”发布了《横跨10年的世纪骗案》的沽空报告，质疑科通芯城财务数据。该报告估算科通芯城每股最高价值仅为0.53港元，相对科通芯城5月19日10港元的收盘价，具有95%的下跌空间。报告公布后，科通芯城股价当天下跌22%，宣布停牌。
科通芯城股价下跌的同时，多喜爱也未能幸免。多喜爱5月22日收跌8.3%，并在23日和24日连续跌停。
多喜爱在6月1日的停牌公告中表示，截至停牌日，控股股东陈军持有公司股份28.51%，累计质押股份占其所持公司股份的72.88%，占公司总股本的20.78%;黄娅妮持有公司股份22.34%，累计质押股份占其所持公司股份的97.33%，占公司总股本的21.74%。
6月16日开市起，多喜爱股票复牌。公告称，公司股票停牌期间，陈军已通过追加质押物，黄娅妮已通过追加保证金，有效地解除了平仓风险，保证了公司控股股东实际控制权的稳定。
复牌后，多喜爱股价6月16日、6月19日、6月20日连续三个交易日收盘价格涨幅偏离值累计超过20%。
经历上述“风波”后一个月，多喜爱于昨天宣布与科通芯城的合作协议处于终止状态，后续也不会再磋商细化相关细节。
<IMAGE SRC=""http://www.cb.com.cn/uploadfile/2016/1108/20161108031403984.jpg"" >",媒体新闻,6337724944957683751_0_590351,多喜爱终止与科通芯城合作 人工智能业务“一波三折”终搁浅,多喜爱,1
"　　新在遭遇做空风波后，科通芯城的商业伙伴再次传出不利消息。7月25日晚，多喜爱发布公告称，与科通芯城的合作处于终止状态，公司后续将不会再进一步磋商及细化协议中的相关合作。
　　今年5月6日，多喜爱发布《关于与科通芯城集团签订业务合作协议的公告》，双方同意在智能硬件领域开展业务合作，并以公司控股子公司深圳多喜爱信息技术有限公司作为实施本协议约定的业务合作的唯一平台，并将深圳多喜爱信息技术有限公司的名称变更为“前海硬蛋智能有限公司”（“前海硬蛋”，具体以工商部门核准的名称为准）。
　　根据约定，科通芯城将协助前海硬蛋对外单独进行融资，公司除应缴足其已认缴的出资外，无需再向前海硬蛋缴纳新增注册资本。科通芯城会协助前海硬蛋并购全球人工智能的核心技术和资产。
　　多喜爱7月25日晚表示，截至本公告日，协议所约定的相关合作未取得实质性进展，也没有开展任何具体业务，相关合作处于终止状态。鉴于该合作处于终止状态，公司后续将不会再进一步磋商及细化协议中的相关合作。
　　今年5月下旬以来，伴随着做空机构的进攻，科通芯城风波不断，其与既往商业伙伴的合作被多次传出受挫消息。
　　5月22日，一家名为烽火研究的机构发布报告称，科通芯城夸大收入净利润，给予“强烈沽售”，目标价仅值0.53港元。该报告称，科通芯城不但夸大收入及净利润，其线上平台Cogobuy.com及所谓的“中国最大的硬件创新平台”硬蛋也完全是一个骗局。其后，科通芯城股价出现暴跌，而多喜爱股价也一度大跌，不少媒体称多喜爱股价受到了科通芯城暴跌的连累。
　　今年7月，有消息称，科通芯城将失去全球顶尖半导体厂商博通代理权。据媒体报道，有科通芯城人士对此称，公司决定从第三季度起减少“重资产”（资金占用大、毛利低）业务，增加高附加值并且资金占用较小的优质业务份额，而公司和博通的业务属于需调整的“重资产”业务。
　　上周，科通芯城股价剧烈波动。据证券时报7月19日报道，科通芯城内部人士承认，“在遭遇做空股价承压后，有多家内资、外资银行对公司收紧了信贷，影响了一部分的业务开展”。不过，这位人士也透露，公司近日获得了多家银行机构的融资支持。",媒体新闻,4647897320907984607_0_430257,多喜爱与科通芯城合作“终止” 后续不再磋商,多喜爱,1
"　　每经记者 曾剑 每经编辑 叶峰
　　多喜爱(行情002761,诊股)7月25日晚间公告称，截至公告日，公司与硬蛋科技、科通芯城（00400，HK）分别签署的协议所约定的相关合作未取得实质性进展，也没有开展任何具体业务，相关合作处于终止状态。鉴于该合作处于终止状态，公司后续将不会再进一步磋商及细化协议中的相关合作。该合作的终止状态不会影响公司及公司子公司业务的开展，亦不会对公司及公司子公司造成其他损失。
　　此前，多喜爱于4月11日与科通芯城旗下公司硬蛋科技签署《战略合作框架协议书》。双方称将共同打造智能家居“AＩ+家纺”生态，进行人工智能+传统产业的转型探索并展开全面深入合作。5月5日，多喜爱再接再厉，与科通芯城签署《业务合作协议》，拟在智能硬件领域开展业务合作。然而，此后科通芯城遭机构做空，股价暴跌。多喜票似乎也受到牵连，一度腰斩。控股股东质押的部分股份也因此触及警戒线，公司股票也宣布停牌。复牌之后，多喜价迅速回暖，累计涨幅接近40%。",媒体新闻,11850041221371934197_0_590043,多喜爱称与科通芯城协议处于终止状态,多喜爱,1
"    重庆商报-上游财经记者 张蜀君
    重庆商报讯 多喜爱与科通芯城的合作“黄”了。4月1日，多喜爱（002761）发布公告称，与硬蛋科技有限公司达成战略合作，共同打造智能家居“AI+家纺”生态，探索人工智能与传统产业相结合。5月5日，多喜爱又与科通芯城签署了业务合作协议，双方共同成立“前海硬蛋智能科技有限公司”。不过，7月25日晚间，多喜爱表示，截至本公告日，协议所约定的相关合作未取得实质性进展，也没有开展任何具体业务，相关合作处于终止状态。正因如此，多喜爱后续将不会再进一步磋商及细化协议中的相关合作。
    多喜爱表示，该合作的终止，不会影响公司及公司子公司业务的开展，也不会对公司及公司子公司造成其他损失。",媒体新闻,15575123411436079614_0_1510,"多喜爱与科通芯城合作“黄”了
重庆商报-上游财经记者 张蜀君",多喜爱,1
"　　每经记者 刘明涛 每经编辑 杜宇
　　在7月18日的《龙虎榜上看龙虎》的栏目中，《每日经济新闻》记者独家报道了大股东平仓风险解除、资金继续追捧多喜爱(行情002761,诊股)，7月19日，多喜爱股价再度大涨4.05%，今日则小涨1.62%，出现了上涨乏力的现象。
　　根据深交所公开交易信息，实力雄厚的中泰证券股份有限公司深圳红荔路银荔大厦证券营业部以买入4813.05万元，排在买入席位第一，恒泰证券股份有限公司深圳益田路卓越时代广场证券营业部和中信建投证券股份有限公司佛山南庄证券营业部也分别买入3695.22万元和3686.33万元，买入也比较积极。
　　不过在卖出席位中，一家机构席位卖出1.48亿元，排在卖出席位第一，其卖出量超过了买入前五席位买入的金额总和，招商证券(行情600999,诊股)交易单元（052300）也卖出4465.93万元，排在卖出席位第二，同样大笔卖出。其余三家营业部卖出金额则均未超过300万元。
　　据计算，今日多喜爱买入与卖出前五席位净卖出净卖出5480万元，主力资金呈现大幅流出状态。",媒体新闻,5799441542872837217_0_491374,多喜爱“翻身仗”受阻 机构甩卖1.48亿成“拦路虎”,多喜爱,1
"　　每经记者 刘明涛 每经编辑 杜宇
　　曾因5月初起的一轮55%的暴跌而引发控股股东平仓风险的多喜爱(行情002761,诊股)，在控股股东追加质押物，有效解除平仓风险后，股价出现了连续反弹，7月初，该股再次回调后于近期又一次被资金所关注，股价出现多次涨停，在上周五涨停后，多喜爱今日再度涨停，重新吹响反弹号角。
　　《每日经济新闻》记者根据深交所公开交易信息注意到，一线游资招商证券(行情600999,诊股)股份有限公司深圳蛇口工业七路证券营业部买入2169.71万元，排在买入席位第一，中信证券(行情600030,诊股)股份有限公司浙江分公司则买入1065.9万元，排在买入席位第二，其余三家营业部则买入金额较少，均未超过450万元。
　　在卖出席位里，东兴证券股份有限公司邵武五一九路证券营业部和华宝证券有限责任公司上海西藏中路证券营业部卖出较多，分别卖出1382.56万元和1019.72万元。据计算，今日买卖多喜爱前五席位累计净买入金额为773万元，主力资金流入状态不算明显。",媒体新闻,4363436716912180121_0_491374,大股东平仓风险解除 资金继续追捧多喜爱,多喜爱,1
"6月27日，一度上涨超过8%的多喜爱（002761.SZ）最终没能收获其复牌以来的第五个涨停，最终仅以38.43元报收，涨幅近3.4%。
此前的5月18日至6月1日，多喜爱股价突现断崖式下跌，短短9个交易日几近腰斩，导致控股股东陈军、黄娅妮夫妻质押的股份触及警戒线。而其此次股价巨幅波动系合作方科通芯城（00400.HK）“城门失火”遭遇造假质疑，直接导致“池鱼”多喜爱被殃及。随后其便以“重大事项”为由停牌，直到6月16日，其才发布公告称“控股股东已经追加质押物”而避免了平仓风险。
复牌后，多喜爱的股价便展开了“谷底”反弹之势。
“（与科通芯城的合作）还在有序推进，正常进行。”多喜爱工作人员6月26日告诉21世纪经济报道记者。
而上市两年的多喜爱，上市前后已经出现连续四年一期业绩下降。
转型合作变数
根据公告，今年4月11日，多喜爱与硬蛋科技（深圳）有限公司（下称硬蛋科技）签署战略合作框架协议，双方将共同打造智能家居“AI+家纺”生态，进行人工智能+传统产业的转型探索并展开全面深入合作。而科通芯城控股的硬蛋科技，号称是中国最大的智能硬件创新创业平台
随后的5月5日，多喜爱又与科通芯城签署了业务合作协议，双方同意在智能硬件领域开展合作，并以多喜爱控股子公司深圳多喜爱信息技术有限公司作为实施业务合作的唯一平台，并将其名称变更为前海硬蛋智能有限公司（下称前海硬蛋），目标是打造成中国最大的人工智能产业平台。
但随着科通芯城线上平台及旗下硬蛋科技被烽火研究质疑是“骗局”，刚刚宣布合作的两家上市公司同时陷入暴跌，造成陈军、黄娅妮质押的股份触及警戒线。
公告显示，从6月2日开市起停牌应对控股股东股权质押融资风险的多喜爱，分别通过追加质押物和追加保证金的方式，“有效地解除了平仓风险，保证了公司控股股东实际控制权的稳定”。而目前，陈军已质押的股份占其所持的87.4%，黄娅妮质押的股份占其所持的97.33%。
虽然作为与科通芯城合作的“受害者”，在股价暴跌后至今，多喜爱却未发布有关合作是否继续的公告。
“我们没有公告出来，就是双方的合作还在正常进行，”前述多喜爱工作人员向21世纪经济报道记者表示，“目前合作的业务还没正式开展，没有进行到实质性的合作。”
对于与科通芯城的合作，多喜爱此前公告更是称，从长远看，将对公司今后的业务发展及核心竞争能力产生积极影响，有利于挖掘公司新的利润增长点。
但硬蛋科技此前却一直处于亏损及烧钱状态，科通芯城董事长康敬伟多次公开表示，硬蛋科技投入较大，却还没赚到钱。
而在去年，硬蛋科技还在寻找外部融资，但截至目前亦尚无融资结果。针对尚需科通芯城“输血”的硬蛋科技，康敬伟亦曾坦言，还没找到理想的商业模式。在变现模式上，硬蛋科技正在尝试为企业提供供应链服务、提供资源换股服务等方式进行变现。
按照多喜爱与科通芯城签署的业务合作协议，科通芯城将协助前海硬蛋并购全球人工智能的核心技术和资产，并且有权（非义务）在第一期业务合作期满后三个月内收购多喜爱全部持有的前海硬蛋股权。
公告显示，前海硬蛋现有两名股东，其中80%股权由多喜爱持有，另20%由独立第三方持有。而多喜爱与科通芯城的第一期合作期限至2018年6月30日。
可是，随着烽火研究质疑报告，多喜爱与科通芯城的合作无疑增添了更多的变数。
募投拖泥带水
合作变故横生的多喜爱，在2015年6月上市前后，其业绩已经连续多年下滑。
公开资料表明，在上市之前的2013年和2014年，多喜爱的净利润分别下降25.12%和25.44%；2015年至今年一季度，其净利润则出现加剧下滑态势，降幅分别达到17.6%、42.33%与48.89%。
更有甚者，多喜爱2016年不到上市前一年一半的净利润，还离不开占利润总额10.43%理财产品投资收益和占利润总额6.15%政府补助等的支撑。
对此，多喜爱表示，近年来利润下降，主要由于中国经济正面临转型升级，家纺行业普遍受到国内经济增长速度放缓、电子商务冲击、经营成本不断上升等因素影响。
“这是家纺行业的通病。”前述多喜爱工作人员对21世纪经济报道记者说。
但查询发现，多喜爱招股说明书中进行对比的3家同行业上市公司的2014年至今年一季度的业绩，罗莱生活（002293.SZ）和梦洁股份（002397.SZ）只有2016年业绩分别下降22.63%与37.38%，富安娜（002327.SZ）则仅为今年一季度下滑10.39%，其他报告期均为正增长。
业绩乏善可陈的多喜爱，募投项目同样拖泥带水。
2016年年报显示，多喜爱首发募投的3个项目，全部没有达到达到预计效益。公司解释称，营销网络拓展项目尚处于建设期，信息化建设项目2016年6月30日才达到预定可使用状态，补充营运资金效益体现在公司整体效益当中，未单独计算项目效益。
招股说明书表明，多喜爱3个募投项目的预计总投资为28056.4万元，其中利用募资18506.9万元，而多喜爱首发募资净额为18504.12万元。
而建设期为两年的营销网络拓展项目，截至2016年底的进度仅为50.04%。不仅如此，在募集资金实际到位之前，多喜爱已经为此投入3769.28万元。
据招股书，营销网络拓展项目计划新增152家直营门店，预计年均实现销售收入 28983.64万元，净利润4140.58万元。项目建设完成后，全国直营门店（柜）将近 300 家。
可是，截至目前，多喜爱的直营门店数量不升反降，从2014年底的117家变为87家。公司解释称，针对市场的变化，公司调整了战略布局，对实体店铺的定位进行了重新调整，关闭了部分亏损网点，减缓了开店进度。
此外，多喜爱上市后就着手布局的互联网垂直电商业务，也没有达到预期效果。其2016年年报称，公司互联网垂直电商业务仍处于前期投入与优化调整阶段，未取得预期效果，公司将逐步减少相关投入并优化调整。
定期报告表明，多喜爱承担互联网垂直电商业务的子公司北京多喜爱网络科技有限公司，2016年亏损额度为1911.56万元，成为多喜爱业绩的主要拖累。
“公司一直都有转型的想法，但只能慢慢寻求，目前还在了解和调整过程中。”上述多喜爱工作人员表示。
来源：21世纪经济报道
记者：张望",媒体新闻,9236911116488029491_0_589975,多喜爱上市前后业绩连续下滑 转型合作方“失火”殃及股权质押,多喜爱,1
"　　每经记者 刘明涛 每经编辑 叶峰
　　因受到大股东股权质押有平仓分险，多喜爱(行情002761,诊股)股价在短短9个交易日累计暴跌48.92%，遭到资金疯狂抛售，公司也于6月2日起申请停牌。
　　随着控股股东陈军已通过追加质押物，黄娅妮已通过追加保证金，有效地解除了平仓风险，多喜爱于6月16日复牌，复牌后公司股价连续3日涨停，今日放量涨停的背景下，机构在大举出货。
　　添升宝根据深交所公开交易信息显示，今日买入多喜爱最多的来自中泰证券上海建国中路证券营业部，买入金额为1675.13万元，其余4家买入营业部的买入金额都没有超过500万元。
　　值得关注的是，在卖出前五席位里，有两家机构席位，分别卖出4557.28万元和2271.77万元，累计卖出金额达到6829万元，据计算，今日买卖多喜爱前五席位累计净卖出为5353万元，主力资金呈现净流出状态。",媒体新闻,6975608965657242103_0_493208,质押风险解除连续超跌反弹 机构6829万元出逃多喜爱,多喜爱,1
"　　
<IMAGE SRC=""http://comment.10jqka.com.cn/sourcepic/12/us3RtrnJxrEtsay.png"" >
消息 今日沪指小幅低开，多喜爱（002761）复牌涨停，停牌前曾收出10连阴。6月1日多喜爱发布公告称，公司控股股东陈军、黄娅妮质押的部分股份触及警戒线，将于6月2日停牌，多喜爱15日晚间公告，公司股票停牌期间，控股股东陈军已通过追加质押物，黄娅妮已通过追加保证金，有效地解除了平仓风险，公司股票将自6月16日开市起复牌。
责任编辑：fh",媒体新闻,1376858946926003489_0_578345,多喜爱10连阴后涨停 大股东面临爆仓风险,多喜爱,1
