keywords,sentence,article_no,source,title or content,
东方财富,(东方财富证券),0,国内新闻,c,1
东方财富,(东方财富证券),1,国内论坛,c,1
东方财富,(东方财富证券),2,国内新闻,c,1
东方财富,"
评：中国航天受政府高度关注，大力发展航天事业，利好相关概念股
隔夜外盘
欧美股市小幅收涨 纳指创收盘记录新高 (东方财富网)
周二欧美股市小幅收涨，纳指创收盘纪录新高",3,国内博客,c,0
东方财富,"
评：中国航天受政府高度关注，大力发展航天事业，利好相关概念股
【隔夜外盘】
欧美股市小幅收涨 纳指创收盘记录新高 (东方财富网)
周二欧美股市小幅收涨，纳指创收盘纪录新高",4,国内博客,c,0
东方财富,(东方财富证券),5,国内新闻,c,1
东方财富,"
　　评：首个版本5G标准提速，利好相关概念股
　　【隔夜外盘】
　　欧股微涨美股全线下挫 金价创8个交易日收盘新高 (东方财富网)
　　周三欧股小幅收涨，美股全线下挫，道指跌超100点，标普500指数创10月11日来最大单日跌幅",6,国内微信,c,0
东方财富,(东方财富证券),7,国内新闻,c,1
东方财富,(东方财富证券),8,国内新闻,c,1
东方财富,"
　　评：通知提出，推动机器人产业理性发展，利好机器人概念股
　　隔夜外盘
　　欧美股市齐跌美元创一周新低金价四连涨 (东方财富网)
　　周四美国股市延续昨日的疲弱态势，市场多空交织，道指两万点的“小目标”似乎渐行渐远；欧股整体收跌，终结此前三连涨走势，但英国股市则续创纪录收盘新高",9,国内微信,c,0
东方财富,"
　　四、业务咨询
　　投资者可以通过以下途径咨询、了解有关基金详情：
　　1、上海天天基金销售有限责任公司
　　办公地址上海市徐汇区宛平南路88号金座(东方财富大厦)
　　注册地址上海市徐汇区龙田路190 号2 号楼2 层
　　法定代表人其实联系人潘世友
　　电话 021-54509998 传真 021-64385308
　　网址 http://www.1234567.com.cn/ 客服电话 400-1818-188
  　2、北信瑞丰基金管理有限公司
　　客户服务电话：400-061-7297，网址：www.bxrfund.com",10,国内新闻,c,2
东方财富,(东方财富证券),11,国内新闻,c,1
东方财富,"
　　四、业务咨询
　　投资者可以通过以下途径咨询、了解有关基金详情:
　　1、 上海天天基金销售有限责任公司
　　办公地址 上海市徐汇区宛平南路88号金座(东方财富大厦)
　　注册地址 上海市徐汇区龙田路190 号2 号楼2 层
　　法定代表人 其实 联系人 潘世友
　　电话 021-54509998 传真 021-64385308
　　网址 http://www.1234567.com.cn/ 客服电话 400-1818-188
  　2、 北信瑞丰基金管理有限公司
　　客户服务电话:400-061-7297,网址:www.bxrfund.com",12,国内新闻,c,2
东方财富,"
评：农村集体产权改革提上日程，利好相关概念股
【隔夜外盘】
欧洲股市进入牛市
英国股市创出新高(东方财富网)
  周二欧美股市全线收涨，道指涨近120点，英股再刷新高",13,国内博客,c,0
东方财富,"
【新股申购】
华立股份(603038)、江龙船艇(300589)、新雷能(300593)
【公告掘金】
1、中矿资源(002738)：与赞比亚国防部签2.47亿美元合同
2、西部创业(000557)获得政府补贴5000万元
3、雪峰科技(603227)：收到1.34亿元搬迁补偿金
4、康得新(002450)：员工持股计划增持近6亿元
5、华电能源(600726)：收到2235万元政府补贴
6、东方园林(002310)联合体中标PPP项目涉及投资额约6.84亿元
7、津膜科技(300334)中标1.49亿元污水处理厂PPP项目
8、国创高新(002377)38亿元并购深圳云房100%股权
9、西南证券(600369)：重庆城投集团耗资2.48亿元增持3389万股
10、腾达建设(600512)：中标6.26亿元工程
11、山东路桥(000498)中标7.23亿元项目
（公告信息来源：东方财富网）
【文中涉及个股，均为消息面汇总所需，并非推荐，据此操作、后果自负",13,国内博客,c,0
东方财富,"
评：农村集体产权改革提上日程，利好相关概念股
【隔夜外盘】
欧洲股市进入牛市
英国股市创出新高(东方财富网)
  周二欧美股市全线收涨，道指涨近120点，英股再刷新高",14,国内博客,c,0
