keywords,sentence,article_no,source,title or content,
百合花,"
我们1月份连续狙击的罗顿发展爆赚30%出局，百合花、宝塔实业双双爆赚15%以上出局，两面针爆赚10%出局，宝色股份布局后连拉两个涨停板",14,国内博客,c,1
百合花,"
<IMAGE SRC=""http://blog.img.cnfol.com/images/8f/92/6329318/201701041128158849.JPG"" >
我们超短线布局的百合花连续涨停",14,国内博客,c,1
百合花,"
603823百合花-------1.03-1.05卖出，获利27.69%",15,国内博客,c,1
百合花,"
603823百合花-------1.03-1.05卖出，获利27.69%",16,国内博客,c,1
百合花,"达75.0821.435.1712.83
32利君股份14.8520.6810.0014.96
33纳尔股份65.6520.524.877.59
34浙江仙通55.5520.364.206.68
35百合花28.8820.082.126.51
36容大感光4119.923.046.53
37宝色股份28.7119.910.535.88
38信捷电气50.8719.644.358.08
39优德精密",17,国内新闻,c,1
百合花,"金资产净值比例（%）
1
300150
世纪瑞尔
2，532，917
25，253，182.49
1.01
2
600996
贵广网络
12，500
234，875.00
0.01
3
603823
百合花
3，762
123，167.88
0.00
4
601375
中原证券
26，695
106，780.00
0.00
5
603298
杭叉集团
3，641
88，403.48
0.00
5.",18,国内新闻,c,1
百合花,"金资产净值比例（%）
1
300150
世纪瑞尔
2，532，917
25，253，182.49
1.01
2
600996
贵广网络
12，500
234，875.00
0.01
3
603823
百合花
3，762
123，167.88
0.00
4
601375
中原证券
26，695
106，780.00
0.00
5
603298
杭叉集团
3，641
88，403.48
0.00
5.",19,国内新闻,c,1
百合花,"
占基金资产净值比例（%）
1
300104
乐视网
466，246
15，367，468.16
3.93
2
600996
贵广网络
12，500
234，875.00
0.06
3
603823
百合花
3，762
123，167.88
0.03
4
601375
中原证券
26，695
106，780.00
0.03
5
603298
杭叉集团
3，641
88，403.48
0.02
5.",20,国内新闻,c,1
百合花,"
占基金资产净值比例（%）
1
300104
乐视网
466，246
15，367，468.16
3.93
2
600996
贵广网络
12，500
234，875.00
0.06
3
603823
百合花
3，762
123，167.88
0.03
4
601375
中原证券
26，695
106，780.00
0.03
5
603298
杭叉集团
3，641
88，403.48
0.02
5.",21,国内新闻,c,1
百合花,"
占基金资产净值比例（%）
1
300104
乐视网
466，246
15，367，468.16
3.93
2
600996
贵广网络
12，500
234，875.00
0.06
3
603823
百合花
3，762
123，167.88
0.03
4
601375
中原证券
26，695
106，780.00
0.03
5
603298
杭叉集团
3，641
88，403.48
0.02
5.",22,国内新闻,c,1
百合花,"排序的前五名股
票投资明细
序号
股票代码
股票名称
数量（股）
公允价值（元）
占基金资产净值比例（%）
1
600996
贵广网络
12，500
234，875.00
0.02
2
603823
百合花
3，762
123，167.88
0.01
3
601375
中原证券
26，695
106，780.00
0.01
4
603298
杭叉集团
3，641
88，403.48
0.01
5
",23,国内新闻,c,1
