keywords,sentence,article_no,source,title or content,
深圳机场,上市公司深圳机场000089国内航线占比90%,0,国内论坛,c,1
深圳机场,深圳机场：由于国内、国际航线收费政策不同，在机型和载客率相同的前提下，国际航线收入会高于国内航线收入，详细可以参考民航局的相关文件规定,0,国内论坛,c,2
深圳机场,上市公司深圳机场000089国内航线占比90%？国内,0,国内论坛,t,1
深圳机场,女子深海开箱队、深圳机场安检站“特区精鹰”班等102个集体获评市级青年文明号,1,国内新闻_电子报,c,0
深圳机场,深圳卫视今晚报到，深圳机场腾飞深圳卫视今晚报到，深圳机场腾飞,2,国内论坛,c,0
深圳机场,深圳卫视今晚报到，深圳机场腾飞,2,国内论坛,t,0
深圳机场,12月份，21世纪经济报道记者发现，在北京进入机场快轨的地铁站，可以看到跑步APP的广告牌，到深圳机场后又看到2016深圳马拉松的广告牌,3,国内新闻_电子报,c,0
深圳机场,”　　12月4日零时左右，有网友爆料在深圳机场大厅看到姚振华一行五人，着正装且表情严肃，步履匆匆，除了随身携带的公文包外，未见大件行李，疑是星夜进京,4,国内新闻_电子报,c,0
深圳机场,值得一提的是，今年10月，深圳机场在国际航线上也连番布局，新开通5条国际航线，在深圳官方的计划中，2020年深圳机场的国际班机将达到48条，其进取姿态令周边机场难以小觑,5,国内新闻_电子报,c,0
深圳机场,”　　12月4日零时左右，有网友爆料在深圳机场大厅看到姚振华一行五人，着正装且表情严肃，步履匆匆，除了随身携带的公文包外，未见大件行李，疑是星夜进京,6,国内新闻,c,0
深圳机场,深圳机场市值165亿，现在深圳地价那么高，机场占地那么多，中长线买深圳机场是明智深圳机场市值165亿，现在深圳地价那么高，机场占地那么多，中长线买深圳机场是明智的,7,国内论坛,c,0
深圳机场,深圳机场市值165亿，现在深圳地价那么高，机场占地那么多，中长线买深圳机场是明智,7,国内论坛,t,0
深圳机场,12月份，21世纪经济报道记者发现，在北京进入机场快轨的地铁站，可以看到跑步APP的广告牌，到深圳机场(行情000089，买入)后又看到2016深圳马拉松的广告牌,8,国内新闻,c,1
深圳机场,12月份，21世纪经济报道记者发现，在北京进入机场快轨的地铁站，可以看到跑步APP的广告牌，到深圳机场(行情000089，买入)后又看到2016深圳马拉松的广告牌,9,国内新闻,c,1
深圳机场,深圳机场(000089)融资融券信息(12-23)来源：东方财富网深圳机场(000089)2016-12-23融资融券信息显示，深圳机场融资余额439，424，734元，融券余额280，836元，融资买入额11，883，219元，融资偿还额19，648，512元，融资净买额-7，765，293元，融券余量34，800股，融券卖出量17，500股，融券偿还量0股，融资融券余额439，705，570元,10,国内论坛,c,1
深圳机场,深圳机场融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-23000089深圳机场439，705，570融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)439，4,10,国内论坛,c,1
深圳机场,深圳机场(000089)融资融券信息(12-23),10,国内论坛,t,1
深圳机场,　　本周观点：（1）上市的枢纽机场是硬资产，供给具备天然垄断性，但需求空间巨大，未来随着时刻的释放以及机场商业的开发，枢纽机场价值空间依然很大，强烈建议当前位置抄底白云机场、深圳机场；（2）17 年央企改革将继续推进，看好铁路在提价、土地开发、资产注入以及在引入战略投资者等方面的改革，同时看好央企改革龙头中储股份在股权多元化方面的进一步的行动；（3）看好2017 年航运业,11,国内新闻,c,1
深圳机场,（2）深圳机场：从干线机场上升为国家区域航空枢纽，“十三五”期间将开通北美6 大核心城市和欧洲3 大航空枢纽机场国际航线，预计年底国际航线将达20 条，国际旅客突破200 万人次,12,国内新闻,c,1
深圳机场,消息，当然还有空难和劫持飞机的消息，类似的题材股表现与否那在于他们，就大盘而已，似乎还有一跌，但空方已经穷途末路，深圳本地股上海本地股改革都有可能被炒作，有些绩优错杀的股票本周会非常强势，本人强烈推荐深圳机场等二线蓝筹股票，建议暂时远离房地产股票!险资介入股票的收官会在岁末年初，保住收获的前提下抽身，是高难度的技术活!!收,13,国内论坛,c,1
深圳机场,深圳机场：公司高管目前未持有公司股票,14,国内论坛,c,1
深圳机场,再不努力，马上就被深圳机场超了再不努力，马上就被深圳机场超了,15,国内论坛,c,0
深圳机场,再不努力，马上就被深圳机场超了,15,国内论坛,t,0
深圳机场,位，静待趋势进一步明确000069华侨城Ａ中期方向不明，暂时观望000070特发信息多空仍在争夺，谨慎为宜000078海王生物多空仍在争夺，谨慎为宜000088盐 田 港横盘震荡，暂时观望000089深圳机场筑底走势将继续，建议不入000090天健集团横盘震荡，暂时观望000096广聚能源可高抛低吸，摊低成本000099中信海直控制仓位，静待趋势进一步明确000100TCL 集团控制仓位，静待趋势,16,国内新闻,c,1
深圳机场,余锡盆介绍，届时中山将具备适时开辟深圳机场、澳门等航线的基础设施条件，可结合周边机场资源，实现空、港联动，还考虑适时开辟深圳蛇口等珠江口东西两岸航线，实现中山市与深港澳一小时经济圈，密切东西两岸人才流、技术流等资源的流通,17,国内新闻_电子报,c,0
深圳机场,中期方向不明，暂时观望000069华侨城Ａ均线空头排列，等待趋势反转000070特发信息可高抛低吸，摊低成本000078海王生物横盘震荡，暂时观望000088盐 田 港走势比较弱，逢高减仓000089深圳机场多空仍在争夺，谨慎为宜000090天健集团控制仓位，静待趋势进一步明确000096广聚能源控制仓位，静待趋势进一步明确000099中信海直横盘震荡，暂时观望000100TCL 集团停牌0001,18,国内新闻,c,1
深圳机场,深圳机场(000089)融资融券信息(12-26)来源：东方财富网深圳机场(000089)2016-12-26融资融券信息显示，深圳机场融资余额433，313，480元，融券余额148，230元，融资买入额10，709，621元，融资偿还额16，820，875元，融资净买额-6，111，254元，融券余量18，300股，融券卖出量0股，融券偿还量16，500股，融资融券余额433，461，710元,19,国内论坛,c,1
深圳机场,深圳机场融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-26000089深圳机场433，461，710融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)433，3,19,国内论坛,c,1
深圳机场,深圳机场(000089)融资融券信息(12-26),19,国内论坛,t,1
深圳机场,(2)深圳机场：从干线机场上升为国家区域航空枢纽，“十三五”期间将开通北美 6 大核心城市和欧洲 3 大航空枢纽机场国际航线，预计年底国际航线将达 20 条，国际旅客突破 200 万人次,20,国内论坛,c,1
深圳机场,(2)深圳机场：从干线机场上升为国家区域航空枢纽，“十三五”期间将开通北美 6 大核心城市和欧洲 3 大航空枢纽机场国际航线，预计年底国际航线将达 20 条，国际旅客突破 200 万人次,21,国内新闻,c,1
深圳机场,　　2016年6月28日号称中国最美地铁线路— —深圳地铁11号线顺利开通，11号线共8节列车（其中有2节商务车厢，属于国内首创），时速达120公里，11号线与深圳机场(行情000089，买入)T3航站楼实现无缝接驳，是深圳轨道交通三期工程建设重大项目之一，共设车站18座，称为全市最便捷换乘线路,22,国内新闻,c,1
深圳机场,2015年9月24日，被告人刘某卫在深圳机场候机楼被公安机关抓获归案,23,国内新闻_电子报,c,0
深圳机场,    与此同时，深圳机场将三防预警等级提升至最高等级红色，在取消当日晚间部分进出港航班的同时，取消8月2日凌晨至中午12点的所有进出港航班；当晚8时左右，深圳开出的广深动车全部停运，厦深线（广东段）、广深港线动车组列车2日全部停运；南澳所有渔船全部归港，各客运码头停运；客运站各站场及时视台风情况停运,24,国内新闻_电子报,c,0
深圳机场,2015年9月24日，刘某卫在深圳机场候机楼被公安机关抓获归案,25,国内新闻_电子报,c,0
深圳机场,深圳机场(000089)融资融券信息(12-27)来源：东方财富网深圳机场(000089)2016-12-27融资融券信息显示，深圳机场融资余额432，276，721元，融券余额148，413元，融资买入额5，686，606元，融资偿还额6，723，365元，融资净买额-1，036，759元，融券余量18，300股，融券卖出量0股，融券偿还量0股，融资融券余额432，425，134元,26,国内论坛,c,1
深圳机场,深圳机场融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-12-27000089深圳机场432，425，134融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)432，2,26,国内论坛,c,1
