keywords,sentence,article_no,source,title or content,
华侨城,这对打造华侨城成为旅游业中的航母巨舰是多重要啊华侨城A：您好，感谢您给予华侨城A的关注与宝贵意见,0,国内论坛,c,1
华侨城,华侨城再下一城，500亿挺进中原300亿三亚 300亿南昌 300亿福州 300亿燕京,1,国内论坛,c,1
华侨城,华侨城A试水金融产业 100亿元入川打造旅游产业链,1,国内论坛,t,1
华侨城,华侨城卖给南华时是否有补偿协议,2,国内论坛,c,1
华侨城,华侨城终于用实际行动来混改了,3,国内论坛,c,2
华侨城,华侨城A试水金融产业 100亿元入川打造旅游产业链,3,国内论坛,t,1
华侨城,阿黑白发表于 2016-12-21 22:18:25华侨城卖给南华时是否有补偿协议,4,国内论坛,c,1
华侨城,请问南昌华侨城项目什么时候公布规划,5,国内论坛,c,2
华侨城,跟近期顺德华侨城项目是否类似,5,国内论坛,c,2
华侨城,华侨城A：您好，感谢关注华侨城A,5,国内论坛,c,1
华侨城,公司目前在积极推进南昌华侨城项目的筹备工作,5,国内论坛,c,2
华侨城,关于未来该项目具体进展情况，敬请您留意公司的相关公告或华侨城官方网站的报道,5,国内论坛,c,2
华侨城,请问南昌华侨城项目什么时候公布规划？项目,5,国内论坛,t,2
华侨城,"wb/res/2016-12/24/C07/ycwb5943590_dzzzz5_1482230645586_b.jpg"" >深圳锦绣中华发展有限公司成立于1988年，是香港中旅国际投资有限公司和深圳华侨城股份有限公司合资兴办的大型文化旅游企业，锦绣中华旗下拥有锦绣中华微缩景区和中国民俗文化村两大主题公园，是国内目前最具实力和典范性的文化主题公园",6,国内新闻_电子报,c,2
华侨城,据中原地产的数据，在今年拿地支出前15名的房企中，共有招商蛇口、华侨城、保利、金茂、华润、鲁能等6家央企，以及绿地、首开两家国企,7,国内新闻,c,2
华侨城,　　3，云南旅游(行情002059，买入)被错杀　　前期分析过云南旅游，华侨城入主，变身央企,8,国内新闻,c,1
华侨城,　　这当中，天保基建(行情000965，买入)、金融街(行情000402，买入)、上实发展(行情600748，买入)、华侨城A(行情000069，买入)、首开股份(行情600376，买入)、广宇集团(行情002133，买入)、迪马股份(行情600565，买入)、招商蛇口(行情001979，买入)、太极实业(行情600,9,国内新闻,c,1
华侨城,建议挖掘结构性机会，主要推荐：1）资源型龙头房企：招商蛇口、华侨城、保利地产、金融街等；2）定增价倒挂：上实发展、荣盛发展(行情002146，买入)、新湖中宝(行情600208，买入)等；3）优质转型：嘉宝集团(行情600622，买入)、华业资本（600240）、迪马股份、天保基建等,9,国内新闻,c,1
华侨城,6.45476.74000402金融街中银国际卢骁峰2016-12-1953.8510.36419.79600748上实发展中银国际卢骁峰2016-12-1933.178.29300.12000069华侨城A中银国际卢骁峰2016-12-1924.057.11238.26600376首开股份中银国际卢骁峰2016-12-1938.6811.75229.19002133广宇集团中银国际卢骁峰2016,9,国内新闻,c,1
华侨城,据中原地产的数据，在今年拿地支出前15名的房企中，共有招商蛇口(16.510， -0.39，  -2.31%)、华侨城、保利、金茂、华润、鲁能等6家央企，以及绿地、首开两家国企,10,国内新闻,c,2
华侨城,　　这当中，天保基建(000965)、金融街(000402)、上实发展(600748)、华侨城A(000069)、首开股份(600376)、广宇集团(002133)、迪马股份(600565)、招商蛇口(001979)、太极实业(600667)、保利地产(600048)、紫光国芯(0020,11,国内新闻,c,1
