日,0.0,96.0,0.0,1.0
宅配,0.0,3.0,0.0,1.0
研究,0.0,3.0,0.0,1.0
正式,0.0,6.0,0.0,1.0
广大,0.0,3.0,0.0,1.0
一季度,0.0,6.0,0.0,1.0
人智农,0.0,15.0,0.0,1.0
资本,0.0,6.0,0.0,1.0
至,0.0,6.0,0.0,1.0
由大北农,0.0,15.0,0.0,1.0
1599.09,0.0,6.0,0.0,1.0
及其,0.0,21.0,0.0,1.0
股东,0.0,72.0,0.0,1.0
频频,0.0,3.0,0.0,1.0
0.98,0.0,6.0,0.0,1.0
完成,0.0,3.0,0.0,1.0
jrjimg,0.0,9.0,0.0,1.0
较,0.0,3.0,0.0,1.0
社会,0.0,6.0,0.0,1.0
组成部分,0.0,6.0,0.0,1.0
大北,0.0,48.0,0.0,1.0
jrj,0.0,3.0,0.0,1.0
值得注意,0.0,3.0,0.0,1.0
元,0.0,15.0,0.0,1.0
63,0.0,3.0,0.0,1.0
张守营,0.0,3.0,0.0,1.0
明星,0.0,9.0,0.0,1.0
此次,0.0,6.0,0.0,1.0
科技奖,0.0,36.0,0.0,1.0
到,0.0,12.0,0.0,1.0
股,0.0,24.0,0.0,1.0
下属,0.0,6.0,0.0,1.0
:,0.0,18.0,0.0,1.0
持股,0.0,48.0,0.0,1.0
提示,0.0,3.0,0.0,1.0
获得,0.0,3.0,0.0,1.0
大宗,0.0,6.0,0.0,1.0
300616,0.0,3.0,0.0,1.0
举办,0.0,6.0,0.0,1.0
12,0.0,12.0,0.0,1.0
实际,0.0,6.0,0.0,1.0
补充,0.0,9.0,0.0,1.0
结算,0.0,9.0,0.0,1.0
龙头,0.0,3.0,0.0,1.0
称,0.0,9.0,0.0,1.0
第九,0.0,6.0,0.0,1.0
27,0.0,3.0,0.0,1.0
预增,0.0,3.0,0.0,1.0
成行,0.0,6.0,0.0,1.0
9287.62,0.0,6.0,0.0,1.0
a580xH,0.0,3.0,0.0,1.0
增持,0.0,141.0,0.0,1.0
行业,0.0,15.0,0.0,1.0
坚持,0.0,3.0,0.0,1.0
三次,0.0,3.0,0.0,1.0
原,0.0,3.0,0.0,1.0
chart,0.0,9.0,0.0,1.0
日至,0.0,12.0,0.0,1.0
公司股票,0.0,3.0,0.0,1.0
简式,0.0,3.0,0.0,1.0
收到,0.0,9.0,0.0,1.0
公益事业,0.0,6.0,0.0,1.0
预计,0.0,3.0,0.0,1.0
1628.81,0.0,3.0,0.0,1.0
由此,0.0,6.0,0.0,1.0
评审,0.0,9.0,0.0,1.0
亿元,0.0,36.0,0.0,1.0
同路,0.0,12.0,0.0,1.0
000938,0.0,3.0,0.0,1.0
扎堆,0.0,3.0,0.0,1.0
端,0.0,3.0,0.0,1.0
农业,0.0,39.0,0.0,1.0
获,0.0,9.0,0.0,1.0
持续,0.0,12.0,0.0,1.0
建成,0.0,6.0,0.0,1.0
培育,0.0,6.0,0.0,1.0
《,0.0,6.0,0.0,1.0
对此,0.0,3.0,0.0,1.0
选择,0.0,3.0,0.0,1.0
联手,0.0,3.0,0.0,1.0
9.5,0.0,6.0,0.0,1.0
体量,0.0,6.0,0.0,1.0
三国,0.0,3.0,0.0,1.0
设法,0.0,3.0,0.0,1.0
奖金,0.0,6.0,0.0,1.0
逆势上涨,0.0,3.0,0.0,1.0
分别,0.0,3.0,0.0,1.0
未来,0.0,6.0,0.0,1.0
合计,0.0,18.0,0.0,1.0
此后,0.0,6.0,0.0,1.0
总,0.0,36.0,0.0,1.0
<,0.0,18.0,0.0,1.0
